RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
751B;91348;CENTRO-OESTE;MATO GROSSO;-14,0771718;-59,4362710;642,4889;656,8750;14,39;14,25;0,14;;;
9517B;91255;CENTRO-OESTE;MATO GROSSO;-13,8465854;-59,5563607;632,0236;645,8080;13,78;13,90;-0,12;;;
1207X;91294;CENTRO-OESTE;MATO GROSSO DO SUL;-19,7916007;-54,3674329;619,2313;619,9510;0,72;0,97;-0,25;;;
1247J;91308;CENTRO-OESTE;MATO GROSSO DO SUL;-21,8398860;-52,6732029;352,6256;348,9490;-3,68;-3,59;-0,09;;;
1249E;91307;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6232648;-53,6517208;403,3889;401,3150;-2,07;-1,88;-0,19;;;
1501B;91288;CENTRO-OESTE;MATO GROSSO DO SUL;-20,0519893;-51,8461119;481,8331;475,3420;-6,49;-6,27;-0,22;;;
1505J;91290;CENTRO-OESTE;MATO GROSSO DO SUL;-19,6160840;-52,5099990;379,1061;373,2520;-5,85;-5,57;-0,28;;;
1507H;91297;CENTRO-OESTE;MATO GROSSO DO SUL;-18,8388303;-53,1363225;716,3644;712,8810;-3,48;-3,43;-0,05;;;
1513J;91292;CENTRO-OESTE;MATO GROSSO DO SUL;-19,7125195;-55,4112171;138,6258;144,2590;5,63;5,68;-0,05;;;
1514C;91293;CENTRO-OESTE;MATO GROSSO DO SUL;-20,0622463;-55,6364253;152,0943;158,5820;6,49;6,59;-0,10;;;
1518J;91301;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6308651;-55,5696690;562,9441;569,7690;6,82;6,82;0,00;;;
1520C;91299;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6929126;-54,7075688;384,4296;386,6370;2,21;2,22;-0,01;;;
1531Z;91306;CENTRO-OESTE;MATO GROSSO DO SUL;-22,3692596;-54,2089737;435,6806;435,7340;0,05;0,31;-0,26;;;
1535L;91302;CENTRO-OESTE;MATO GROSSO DO SUL;-22,4706279;-55,4009530;573,3569;579,9890;6,63;6,59;0,04;;;
1538M;92797;CENTRO-OESTE;MATO GROSSO DO SUL;-22,4558418;-54,8404471;415,8753;419,1180;3,24;3,43;-0,19;;;
1540J;92798;CENTRO-OESTE;MATO GROSSO DO SUL;-23,2214146;-55,2073434;452,6887;457,9820;5,29;5,37;-0,08;;;
1540V;91303;CENTRO-OESTE;MATO GROSSO DO SUL;-23,4575066;-55,1586890;414,0445;419,0450;5,00;5,05;-0,05;;;
1549G;92801;CENTRO-OESTE;MATO GROSSO DO SUL;-23,7575801;-54,3060214;340,5944;343,0060;2,41;2,53;-0,12;;;
1557E;91298;CENTRO-OESTE;MATO GROSSO DO SUL;-20,7296133;-56,6278922;398,0049;409,9970;11,99;11,88;0,11;;;
1561R;92799;CENTRO-OESTE;MATO GROSSO DO SUL;-23,6759591;-55,3945529;343,2917;349,4180;6,13;6,14;-0,01;;;
1563E;92800;CENTRO-OESTE;MATO GROSSO DO SUL;-23,9795908;-55,0403344;418,4996;423,7640;5,26;5,26;0,00;;;
1564T;91304;CENTRO-OESTE;MATO GROSSO DO SUL;-23,5345678;-54,3953520;364,7957;366,8690;2,07;2,19;-0,12;;;
1571H;91305;CENTRO-OESTE;MATO GROSSO DO SUL;-22,6395328;-54,0414466;382,6504;382,2060;-0,44;-0,31;-0,13;;;
2258B;92723;CENTRO-OESTE;MATO GROSSO DO SUL;-18,1792446;-54,6376302;336,3815;337,5810;1,20;1,45;-0,25;;;
2259D;91296;CENTRO-OESTE;MATO GROSSO DO SUL;-17,9828990;-54,2264082;381,0665;380,3340;-0,73;-0,57;-0,16;;;
255X;91289;CENTRO-OESTE;MATO GROSSO DO SUL;-20,5554049;-52,4999399;323,0012;317,6790;-5,32;-5,09;-0,23;;;
258Y;91291;CENTRO-OESTE;MATO GROSSO DO SUL;-20,4291822;-55,3191999;194,6976;199,5930;4,90;4,76;0,14;;;
3287D;92725;CENTRO-OESTE;MATO GROSSO DO SUL;-19,0002814;-57,6296147;142,8603;156,5910;13,73;13,81;-0,08;;;
2483A;96514;NORDESTE;ALAGOAS;-09,7606541;-36,5067529;194,2789;186,6520;-7,63;-7,83;0,20;;;
2515Z;96513;NORDESTE;ALAGOAS;-09,5197849;-36,9875975;190,4478;181,9690;-8,48;-8,54;0,06;;;
2522M;93242;NORDESTE;ALAGOAS;-09,3867758;-37,9913943;233,1572;222,8720;-10,29;-10,30;0,01;;;
2539X;93243;NORDESTE;ALAGOAS;-09,1375759;-37,3153682;396,1662;387,8660;-8,30;-8,44;0,14;;;
1168C;93248;NORDESTE;BAHIA;-15,2419476;-40,3270233;328,3184;318,3580;-9,96;-10,07;0,11;;;
1184N;93077;NORDESTE;BAHIA;-14,2035484;-42,7576680;542,6470;529,6410;-13,01;-12,93;-0,08;;;
1184V;93078;NORDESTE;BAHIA;-14,2158143;-42,8431819;508,0783;495,1240;-12,95;-12,95;0,00;;;
1369E;93264;NORDESTE;BAHIA;-12,7935782;-45,9517289;761,0070;747,1830;-13,82;-13,79;-0,03;;;
2295G;93263;NORDESTE;BAHIA;-13,4124647;-44,7209567;713,4970;701,4340;-12,06;-12,08;0,02;;;
2295R;93080;NORDESTE;BAHIA;-13,3414050;-44,6372649;569,6790;557,3820;-12,30;-12,26;-0,04;;;
2300H;93266;NORDESTE;BAHIA;-12,7091994;-44,5658912;775,8569;762,2970;-13,56;-13,47;-0,09;;;
2302R;93083;NORDESTE;BAHIA;-12,1649782;-45,0086262;444,3081;429,2950;-15,01;-14,91;-0,10;;;
2303H;93265;NORDESTE;BAHIA;-12,4303570;-45,0843850;524,7628;511,2190;-13,54;-14,01;0,47;;;
232O;93289;NORDESTE;BAHIA;-14,1200692;-40,2301735;298,4745;288,9470;-9,53;-9,68;0,15;;;
2361E;93285;NORDESTE;BAHIA;-12,9841400;-44,0492014;531,8772;518,0570;-13,82;-13,78;-0,04;;;
2501Z;93124;NORDESTE;BAHIA;-10,5354930;-38,3840220;430,2478;415,9190;-14,33;-14,13;-0,20;;;
2556A;93135;NORDESTE;BAHIA;-11,5560898;-38,1339310;168,8963;157,0830;-11,81;-11,78;-0,03;;;
2558X;93305;NORDESTE;BAHIA;-11,9589688;-37,9530835;84,4796;73,9530;-10,53;-10,42;-0,11;;;
2560A;93131;NORDESTE;BAHIA;-12,1654130;-38,4757680;220,4495;208,2890;-12,16;-11,98;-0,18;;;
2561L;93125;NORDESTE;BAHIA;-10,7011982;-38,1989951;252,5942;239,7740;-12,82;-12,59;-0,23;;;
2564D;93136;NORDESTE;BAHIA;-11,6261229;-38,3013549;274,2727;261,2860;-12,99;-12,78;-0,21;;;
2567P;93138;NORDESTE;BAHIA;-12,6509431;-38,3387953;53,7121;42,3420;-11,37;-11,24;-0,13;;;
2576S;93130;NORDESTE;BAHIA;-11,6757042;-38,9961985;344,1188;332,0950;-12,02;-12,00;-0,02;;;
2577M;93129;NORDESTE;BAHIA;-12,0739443;-38,9696408;241,3761;229,8450;-11,53;-11,48;-0,05;;;
2605N;93119;NORDESTE;BAHIA;-10,5608273;-38,9900793;395,7270;382,8920;-12,84;-12,72;-0,11;;;
263X;93302;NORDESTE;BAHIA;-15,0982211;-39,9958874;246,7948;236,5100;-10,28;-10,38;0,10;;;
2719N;93092;NORDESTE;BAHIA;-09,4101911;-40,8163392;400,6620;387,0010;-13,66;-13,58;-0,08;;;
2719P;93093;NORDESTE;BAHIA;-09,4294855;-40,8266698;399,0217;385,3390;-13,68;-13,61;-0,07;;;
2719X;93091;NORDESTE;BAHIA;-09,4896271;-40,8081910;381,8828;368,2030;-13,68;-13,57;-0,11;;;
2720V;93089;NORDESTE;BAHIA;-09,4701429;-40,5445100;374,2487;361,0410;-13,21;-13,08;-0,13;;;
2774S;93268;NORDESTE;BAHIA;-10,8714528;-45,1451296;532,6981;516,1990;-16,50;-16,33;-0,17;;;
2776N;93267;NORDESTE;BAHIA;-11,5026770;-44,9571250;505,2625;488,0850;-17,18;-16,96;-0,22;;;
278H;93304;NORDESTE;BAHIA;-12,1346806;-39,3381197;245,2172;234,0740;-11,14;-11,24;0,10;;;
2792B;93253;NORDESTE;BAHIA;-10,6658780;-39,5183271;370,7654;358,6210;-12,14;-12,21;0,07;;;
2796G;93280;NORDESTE;BAHIA;-10,2360891;-40,2039409;674,8515;662,7430;-12,11;-12,10;-0,01;;;
285C;93288;NORDESTE;BAHIA;-13,5949831;-41,3673194;1161,1113;1149,8560;-11,26;-11,40;0,14;;;
289S;93308;NORDESTE;BAHIA;-11,1703175;-40,5412291;467,8062;455,7010;-12,11;-12,05;-0,06;;;
296X;93127;NORDESTE;BAHIA;-10,8926479;-38,5099616;209,7491;194,8770;-14,87;-14,82;-0,05;;;
310N;93281;NORDESTE;BAHIA;-11,0594400;-42,3108740;459,5591;443,6030;-15,96;-15,56;-0,40;;;
314D;93122;NORDESTE;BAHIA;-09,9362676;-38,7482038;321,4322;308,8070;-12,63;-12,43;-0,20;;;
317B;93126;NORDESTE;BAHIA;-10,2007593;-37,8673678;250,9831;240,7340;-10,25;-10,27;0,02;;;
317T;93123;NORDESTE;BAHIA;-10,0851945;-38,2827524;255,9183;243,8670;-12,05;-11,97;-0,08;;;
3266V;93249;NORDESTE;BAHIA;-15,9664204;-39,5265592;179,8408;170,7430;-9,10;-9,20;0,10;;;
3272G;93250;NORDESTE;BAHIA;-17,0264772;-39,5400086;130,6970;121,8690;-8,83;-8,96;0,13;;;
3277H;93251;NORDESTE;BAHIA;-18,0774283;-39,5453923;04,6347;-03,3130;-7,95;-8,09;0,14;;;
342Y;93120;NORDESTE;BAHIA;-09,8507259;-39,1432009;411,8941;400,2500;-11,64;-11,67;0,03;;;
3600J;93134;NORDESTE;BAHIA;-12,9745676;-39,2250972;201,9346;190,7020;-11,23;-11,16;-0,07;;;
3606R;93190;NORDESTE;BAHIA;-12,2169064;-37,8324808;28,4003;18,0960;-10,30;-10,28;-0,02;;;
3608E;93306;NORDESTE;BAHIA;-11,8204500;-37,6353044;20,8153;10,4830;-10,33;-10,23;-0,10;;;
3614A;91312;NORDESTE;BAHIA;-14,2172134;-39,3160122;122,5946;113,8440;-8,75;-8,75;0,00;;;
3616N;93247;NORDESTE;BAHIA;-13,6404560;-39,4874340;271,6855;261,3450;-10,34;-10,23;-0,11;;;
3618C;93097;NORDESTE;BAHIA;-12,8919745;-38,3159761;16,3572;05,7180;-10,64;-10,72;0,08;;;
3618F;93098;NORDESTE;BAHIA;-12,8984334;-38,2972217;02,4353;-08,2160;-10,65;-10,71;0,06;;;
3618G;93099;NORDESTE;BAHIA;-12,9059635;-38,3032208;02,8830;-07,7790;-10,66;-10,73;0,07;;;
3619D;93101;NORDESTE;BAHIA;-12,9603128;-38,3966098;05,8578;-04,8050;-10,66;-10,84;0,18;;;
3619F;93102;NORDESTE;BAHIA;-12,9686387;-38,4106762;15,2062;04,4950;-10,71;-10,84;0,13;;;
3619M;93103;NORDESTE;BAHIA;-12,9910896;-38,4399821;04,3344;-06,4600;-10,79;-10,84;0,05;;;
3619N;93104;NORDESTE;BAHIA;-12,9982313;-38,4461945;05,8223;-05,0430;-10,87;-10,85;-0,02;;;
3620A;93105;NORDESTE;BAHIA;-13,0112491;-38,5079813;03,3538;-07,5520;-10,91;-10,91;0,00;;;
3620C;93036;NORDESTE;BAHIA;-13,0082727;-38,5116853;47,0685;36,1800;-10,89;-10,91;0,02;;;
