RN;SAT;Região;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondulação (N) Conexão *;Ondulação (N) MAPGEO2015 **;Discrepâncias dif.Conexão_X_MAPGEO2015;;;
9502D;91031;SUDESTE;MINAS GERAIS;-19,7620378;-48,1015818;763,4072;754,0430;-9,36;-9,31;-0,05;;;
1000N;91825;SUDESTE;RIO DE JANEIRO;-22,6055258;-43,9354219;473,9662;469,4900;-4,48;-4,65;0,17;;;
1005U;91953;SUDESTE;RIO DE JANEIRO;-22,5596033;-42,8616096;11,8198;06,0830;-5,74;-5,80;0,06;;;
1006U;93955;SUDESTE;RIO DE JANEIRO;-22,6456087;-43,0701931;05,3650;-00,3110;-5,68;-5,72;0,04;;;
1008S;96162;SUDESTE;RIO DE JANEIRO;-22,8057794;-42,9810757;27,8813;21,7740;-6,11;-6,21;0,10;;;
1013A;91969;SUDESTE;RIO DE JANEIRO;-22,8469856;-42,1858095;05,8496;-00,0410;-5,89;-6,05;0,16;;;
1014E;91870;SUDESTE;RIO DE JANEIRO;-22,4134916;-43,1401148;685,8676;681,7040;-4,16;-4,51;0,35;;;
1021C;91823;SUDESTE;RIO DE JANEIRO;-22,7040336;-44,0959988;411,0279;406,8530;-4,17;-4,32;0,15;;;
1025C;96126;SUDESTE;RIO DE JANEIRO;-21,4930416;-41,6146152;22,6085;15,5670;-7,04;-7,05;0,01;;;
2814B;91826;SUDESTE;RIO DE JANEIRO;-22,4497006;-44,3184273;421,6857;417,7460;-3,94;-4,04;0,10;;;
2814U;91827;SUDESTE;RIO DE JANEIRO;-22,5523662;-44,0681124;456,6102;452,0890;-4,52;-4,50;-0,02;;;
2820G;91820;SUDESTE;RIO DE JANEIRO;-23,1948156;-44,7281424;04,7222;00,2580;-4,46;-4,44;-0,02;;;
2820S;91830;SUDESTE;RIO DE JANEIRO;-22,6406837;-43,7130728;39,8979;34,7000;-5,20;-5,25;0,05;;;
2821S;91828;SUDESTE;RIO DE JANEIRO;-22,5275333;-43,7217355;422,0576;417,3510;-4,71;-4,85;0,14;;;
2822M;91829;SUDESTE;RIO DE JANEIRO;-22,6387524;-43,6656212;40,2725;35,0170;-5,26;-5,31;0,05;;;
2823E;91869;SUDESTE;RIO DE JANEIRO;-22,4941699;-43,5208131;494,6432;490,0590;-4,58;-4,82;0,24;;;
2824M;91866;SUDESTE;RIO DE JANEIRO;-22,1966026;-43,3155047;327,7713;323,2740;-4,50;-4,65;0,15;;;
2825H;91966;SUDESTE;RIO DE JANEIRO;-22,6917953;-42,5470085;51,8291;45,6680;-6,16;-6,29;0,13;;;
2825Z;91968;SUDESTE;RIO DE JANEIRO;-22,5190383;-42,3422330;20,8540;14,9130;-5,94;-6,02;0,08;;;
2826S;91964;SUDESTE;RIO DE JANEIRO;-22,4662465;-42,0717004;17,2261;10,9430;-6,28;-6,40;0,12;;;
2828N;91962;SUDESTE;RIO DE JANEIRO;-22,4758039;-41,8944387;08,2093;01,6820;-6,53;-6,71;0,18;;;
2829G;91961;SUDESTE;RIO DE JANEIRO;-22,2759269;-41,7058100;09,4930;02,9280;-6,57;-6,80;0,23;;;
2830F;91958;SUDESTE;RIO DE JANEIRO;-22,1019283;-41,4521838;08,0287;01,5200;-6,51;-6,74;0,23;;;
2833P;91954;SUDESTE;RIO DE JANEIRO;-21,9206241;-42,1574956;198,1656;192,0490;-6,12;-6,25;0,13;;;
2835G;93968;SUDESTE;RIO DE JANEIRO;-22,2449164;-42,9159659;712,6094;708,3800;-4,23;-4,47;0,24;;;
2842F;91868;SUDESTE;RIO DE JANEIRO;-21,9383040;-42,5962143;287,5823;282,0860;-5,50;-5,66;0,16;;;
2844P;91963;SUDESTE;RIO DE JANEIRO;-22,0823320;-42,0695320;694,2299;688,6490;-5,58;-5,85;0,27;;;
2849X;91955;SUDESTE;RIO DE JANEIRO;-21,7219195;-41,9422151;86,8872;80,2750;-6,61;-6,76;0,15;;;
2994A;91500;SUDESTE;RIO DE JANEIRO;-22,8191022;-43,3066533;04,3432;-01,4590;-5,80;-5,78;-0,02;;;
2994B;91513;SUDESTE;RIO DE JANEIRO;-22,8191546;-43,3065724;03,1932;-02,5980;-5,79;-5,78;-0,01;;;
2994G;93689;SUDESTE;RIO DE JANEIRO;-22,3890127;-41,7707863;05,3113;-01,1960;-6,51;-6,78;0,27;;;
2994L;93518;SUDESTE;RIO DE JANEIRO;-22,8831430;-43,1347289;01,6897;-04,2190;-5,91;-6,01;0,10;;;
2994X;96099;SUDESTE;RIO DE JANEIRO;-22,9223591;-43,0947503;04,2399;-01,6410;-5,88;-6,03;0,15;;;
3002S;91885;SUDESTE;RIO DE JANEIRO;-21,8441414;-42,5785574;140,4513;134,5410;-5,91;-6,02;0,11;;;
3010E;96159;SUDESTE;RIO DE JANEIRO;-22,9267725;-42,9240315;14,5608;08,5830;-5,98;-6,21;0,23;;;
3013G;91965;SUDESTE;RIO DE JANEIRO;-22,8858893;-42,4763552;12,9255;06,9600;-5,97;-6,17;0,20;;;
3013U;91967;SUDESTE;RIO DE JANEIRO;-22,8654856;-42,3152334;17,3490;11,4060;-5,94;-6,08;0,14;;;
3017D;96045;SUDESTE;RIO DE JANEIRO;-22,4964825;-44,6605134;465,6957;462,5770;-3,12;-3,24;0,12;;;
3017S;91824;SUDESTE;RIO DE JANEIRO;-22,4559617;-44,3943458;405,5084;401,7160;-3,79;-3,86;0,07;;;
3068S;91821;SUDESTE;RIO DE JANEIRO;-22,9666781;-44,0447840;04,8110;-00,2620;-5,07;-4,84;-0,23;;;
3073D;91970;SUDESTE;RIO DE JANEIRO;-22,7744833;-41,9305506;02,6342;-03,2770;-5,91;-6,14;0,23;;;
3086H;91888;SUDESTE;RIO DE JANEIRO;-22,3695553;-41,7845022;06,5936;00,0560;-6,54;-6,77;0,23;;;
3088S;91783;SUDESTE;RIO DE JANEIRO;-22,9784683;-42,0202613;06,8732;01,2710;-5,60;-5,80;0,20;;;
3091B;93967;SUDESTE;RIO DE JANEIRO;-22,7715162;-42,9285341;16,9668;10,8160;-6,15;-6,26;0,11;;;
3099C;93915;SUDESTE;RIO DE JANEIRO;-22,8465713;-43,2364323;05,2562;-00,5490;-5,81;-5,84;0,03;;;
3100T;93916;SUDESTE;RIO DE JANEIRO;-22,8236794;-43,2315361;04,0193;-01,7840;-5,80;-5,85;0,05;;;
3121A;91720;SUDESTE;RIO DE JANEIRO;-22,8178444;-43,3062766;14,3646;08,6320;-5,73;-5,78;0,05;;;
4001L;91956;SUDESTE;RIO DE JANEIRO;-21,6534772;-41,7407452;41,5429;34,8870;-6,66;-6,83;0,17;;;
4003P;91960;SUDESTE;RIO DE JANEIRO;-21,4773589;-41,1138355;09,5455;02,9750;-6,57;-6,74;0,17;;;
4010B;93966;SUDESTE;RIO DE JANEIRO;-21,2003954;-41,7159273;140,6310;133,8720;-6,76;-6,86;0,10;;;
9022D;93519;SUDESTE;RIO DE JANEIRO;-22,3891153;-41,7706803;05,2776;-01,2150;-6,49;-6,78;0,29;;;
9022E;93690;SUDESTE;RIO DE JANEIRO;-22,3868436;-41,7693948;04,4741;-02,0360;-6,51;-6,77;0,26;;;
2388G;91617;SUDESTE;SÃO PAULO;-20,2524603;-50,1835142;435,2343;427,5870;-7,65;-7,54;-0,11;;;
2810C;91711;SUDESTE;SÃO PAULO;-22,6754365;-45,0007562;556,4976;553,3800;-3,12;-3,24;0,12;;;
2875N;91839;SUDESTE;SÃO PAULO;-22,9381794;-48,3927779;877,4363;872,2210;-5,22;-5,27;0,05;;;
2875R;91840;SUDESTE;SÃO PAULO;-22,9355632;-48,3593177;683,0428;677,7400;-5,30;-5,31;0,01;;;
2914G;91844;SUDESTE;SÃO PAULO;-21,9392862;-48,8011150;509,9552;503,2760;-6,68;-6,63;-0,05;;;
2914R;91843;SUDESTE;SÃO PAULO;-21,8069298;-48,8385048;448,3992;441,6150;-6,78;-6,67;-0,11;;;
2964J;93681;SUDESTE;SÃO PAULO;-21,1854098;-49,5830830;485,7722;478,7500;-7,02;-6,91;-0,11;;;
2965J;93682;SUDESTE;SÃO PAULO;-21,0313645;-49,6469204;469,6232;462,6100;-7,01;-6,95;-0,06;;;
2988C;91615;SUDESTE;SÃO PAULO;-20,7846568;-49,3581848;527,7466;520,7550;-6,99;-6,96;-0,03;;;
2988H;91668;SUDESTE;SÃO PAULO;-20,2613998;-47,3674521;1074,5587;1067,4830;-7,08;-7,19;0,11;;;
2988Z;91689;SUDESTE;SÃO PAULO;-20,2417955;-47,3102734;685,2480;678,0090;-7,24;-7,34;0,10;;;
2989B;91690;SUDESTE;SÃO PAULO;-20,2445144;-47,2713686;710,3971;703,1280;-7,27;-7,33;0,06;;;
2991T;91634;SUDESTE;SÃO PAULO;-23,2127667;-45,8596980;624,3378;621,2170;-3,12;-3,20;0,08;;;
2992B;91638;SUDESTE;SÃO PAULO;-23,2193792;-45,8721470;619,1325;615,9910;-3,14;-3,19;0,05;;;
2992C;91637;SUDESTE;SÃO PAULO;-23,2257690;-45,8631306;628,0205;624,8730;-3,15;-3,21;0,06;;;
2992D;91636;SUDESTE;SÃO PAULO;-23,2343860;-45,8537701;646,2563;643,0740;-3,18;-3,22;0,04;;;
2992E;91635;SUDESTE;SÃO PAULO;-23,2225809;-45,8654884;625,0867;621,9520;-3,13;-3,20;0,07;;;
3007P;91612;SUDESTE;SÃO PAULO;-20,5819065;-47,3809555;1011,1194;1005,0590;-6,06;-6,26;0,20;;;
3007T;91607;SUDESTE;SÃO PAULO;-23,5508467;-46,7315776;721,1014;718,1400;-2,96;-3,05;0,09;;;
3018P;91608;SUDESTE;SÃO PAULO;-23,4114418;-45,5936430;720,8007;717,5060;-3,29;-3,44;0,15;;;
3018V;91725;SUDESTE;SÃO PAULO;-22,6799845;-44,9911428;572,9733;569,8570;-3,12;-3,24;0,12;;;
3018X;91727;SUDESTE;SÃO PAULO;-22,6872269;-44,9851633;619,7134;616,5980;-3,12;-3,24;0,12;;;
3018Z;91728;SUDESTE;SÃO PAULO;-22,6867011;-44,9847929;619,0710;615,9520;-3,12;-3,23;0,11;;;
3020B;91682;SUDESTE;SÃO PAULO;-22,6869607;-44,9842878;623,3900;620,2780;-3,11;-3,23;0,12;;;
3020D;91726;SUDESTE;SÃO PAULO;-22,6916829;-44,9908086;648,5318;645,4080;-3,12;-3,24;0,12;;;
3020L;91685;SUDESTE;SÃO PAULO;-22,8047918;-48,4274363;750,9057;745,3850;-5,52;-5,58;0,06;;;
3020M;91616;SUDESTE;SÃO PAULO;-21,7549189;-48,9927658;408,9119;402,3510;-6,56;-6,64;0,08;;;
3020R;91613;SUDESTE;SÃO PAULO;-21,2351641;-48,2863848;612,8991;605,9600;-6,94;-6,98;0,04;;;
3021N;91684;SUDESTE;SÃO PAULO;-24,4421562;-47,7829551;47,6534;44,2570;-3,40;-3,40;0,00;;;
3023E;91683;SUDESTE;SÃO PAULO;-23,5293356;-48,0098634;750,7915;746,7040;-4,09;-4,16;0,07;;;
3035R;91355;SUDESTE;SÃO PAULO;-20,2623761;-48,6748720;465,0675;457,0990;-7,97;-7,88;-0,09;;;
3038T;91787;SUDESTE;SÃO PAULO;-20,0356026;-48,2229336;497,5037;488,6570;-8,85;-8,72;-0,13;;;
3041S;91845;SUDESTE;SÃO PAULO;-20,2719653;-47,4553697;1050,2653;1043,4190;-6,85;-7,05;0,20;;;
3041U;91833;SUDESTE;SÃO PAULO;-20,2716257;-47,4545204;1051,8686;1044,9230;-6,95;-7,05;0,10;;;
3056A;91554;SUDESTE;SÃO PAULO;-22,9044714;-50,0019012;392,0258;386,7490;-5,28;-5,18;-0,10;;;
3092T;91716;SUDESTE;SÃO PAULO;-25,0202393;-47,9249685;07,9738;06,0580;-1,92;-1,88;-0,04;;;
3108U;92578;SUDESTE;SÃO PAULO;-22,1281713;-51,4281761;434,1324;429,1070;-5,03;-4,99;-0,04;;;
3111T;91550;SUDESTE;SÃO PAULO;-21,9505266;-50,9414528;326,5143;320,4360;-6,08;-5,87;-0,21;;;
3112M;96157;SUDESTE;SÃO PAULO;-21,7916176;-50,7968389;490,1175;483,7970;-6,32;-6,17;-0,15;;;
3113A;91584;SUDESTE;SÃO PAULO;-21,7134889;-50,7275925;440,0737;433,6090;-6,46;-6,29;-0,17;;;
3113T;91719;SUDESTE;SÃO PAULO;-21,5963944;-50,6014286;426,8598;420,2020;-6,66;-6,48;-0,18;;;
3114D;91971;SUDESTE;SÃO PAULO;-21,5250232;-50,5516378;446,0492;439,3770;-6,67;-6,57;-0,10;;;
3114S;91972;SUDESTE;SÃO PAULO;-21,3975656;-50,4833494;461,1102;454,2250;-6,89;-6,73;-0,16;;;
3115F;91973;SUDESTE;SÃO PAULO;-21,3387062;-50,3999974;476,1048;469,0950;-7,01;-6,80;-0,21;;;
3115T;91974;SUDESTE;SÃO PAULO;-21,2203796;-50,3029280;404,3274;397,0770;-7,25;-7,00;-0,25;;;
3116H;91975;SUDESTE;SÃO PAULO;-21,0569952;-50,2009530;383,2946;375,8570;-7,44;-7,25;-0,19;;;
3124A;91507;SUDESTE;SÃO PAULO;-23,2134842;-45,8605913;625,6337;622,5270;-3,11;-3,20;0,09;;;
3124B;96110;SUDESTE;SÃO PAULO;-23,2134535;-45,8608179;624,2305;621,0250;-3,21;-3,20;-0,01;;;
3125R;96158;SUDESTE;SÃO PAULO;-21,8583693;-50,6893384;499,4072;493,1550;-6,25;-6,12;-0,13;;;
3307V;91610;SUDESTE;SÃO PAULO;-21,6251631;-47,0180133;585,1585;580,0260;-5,13;-5,18;0,05;;;
3322T;92856;SUDESTE;SÃO PAULO;-21,4375693;-47,0096851;618,8147;613,7380;-5,08;-5,09;0,01;;;
4037Z;93901;SUDESTE;SÃO PAULO;-21,2410525;-48,2866494;575,2342;568,2680;-6,97;-6,98;0,01;;;
4038N;91351;SUDESTE;SÃO PAULO;-21,0858124;-48,4033954;603,2083;596,2820;-6,93;-7,02;0,09;;;
4039B;91352;SUDESTE;SÃO PAULO;-20,9328399;-48,4721842;565,1234;558,0830;-7,04;-7,14;0,10;;;
4039S;91353;SUDESTE;SÃO PAULO;-20,7212416;-48,5363156;588,2276;580,8910;-7,34;-7,37;0,03;;;
4040F;91879;SUDESTE;SÃO PAULO;-20,5831466;-48,5974632;576,5349;568,8570;-7,68;-7,63;-0,05;;;
9501C;90764;SUDESTE;SÃO PAULO;-23,5665728;-46,7325846;790,7420;787,7730;-2,97;-3,05;0,08;;;
9502B;91785;SUDESTE;SÃO PAULO;-20,0210633;-47,4357342;561,4362;553,1530;-8,28;-8,11;-0,17;;;
1581T;96149;SUL;PARANÁ;-23,7893704;-53,0603096;470,8619;471,0500;0,19;0,15;0,04;;;
1587X;93999;SUL;PARANÁ;-23,2464698;-50,7269278;400,1126;396,1140;-4,00;-3,88;-0,12;;;
1594D;96148;SUL;PARANÁ;-23,7223914;-52,1800140;374,9377;373,2190;-1,72;-1,67;-0,05;;;
1597H;93961;SUL;PARANÁ;-24,0153659;-51,0917001;1011,8736;1011,9770;0,10;-0,15;0,25;;;
1720M;96151;SUL;PARANÁ;-24,3755293;-53,8350235;381,8800;384,6350;2,76;2,85;-0,10;;;
1726F;96153;SUL;PARANÁ;-25,7498442;-53,0535789;511,4725;514,3000;2,83;2,89;-0,06;;;
1728D;96154;SUL;PARANÁ;-26,2665338;-52,7826059;689,6361;694,3880;4,75;4,60;0,15;;;
1731M;96152;SUL;PARANÁ;-25,1499081;-53,8439080;672,7305;676,8290;4,10;4,05;0,05;;;
1735D;96155;SUL;PARANÁ;-25,4258255;-52,0179864;770,0963;773,5040;3,41;3,27;0,14;;;
1741B;96156;SUL;PARANÁ;-25,6969978;-51,6599773;1051,9362;1056,8500;4,91;4,70;0,21;;;
1743H;91743;SUL;PARANÁ;-24,7530239;-51,7761673;893,0858;894,8960;1,81;1,72;0,09;;;
2018P;92700;SUL;PARANÁ;-24,7249370;-49,9863700;1037,5545;1041,7460;4,19;3,90;0,29;;;
2021V;96147;SUL;PARANÁ;-24,5665493;-51,3375284;536,6371;537,3330;0,70;0,83;-0,13;;;
2028D;94050;SUL;PARANÁ;-23,8749019;-53,8909314;377,8352;379,5210;1,69;1,86;-0,17;;;
2985A;91582;SUL;PARANÁ;-25,5791022;-54,5591294;179,8058;185,0230;5,22;5,24;-0,02;;;
3105U;91795;SUL;PARANÁ;-22,6963865;-51,7919334;379,3650;375,7260;-3,64;-3,41;-0,23;;;
3279F;91105;SUL;PARANÁ;-25,4483686;-49,2309548;921,8421;925,7650;3,92;3,66;0,26;;;
3279N;91123;SUL;PARANÁ;-25,4522590;-49,2359360;909,6970;913,6890;3,99;3,67;0,32;;;
3279R;91124;SUL;PARANÁ;-25,4540870;-49,2367710;907,1962;911,1840;3,99;3,67;0,32;;;
3279U;91103;SUL;PARANÁ;-25,4555288;-49,2374304;907,1886;911,1340;3,95;3,67;0,28;;;
1413L;93972;SUL;RIO GRANDE DO SUL;-28,0563440;-51,1297600;914,1311;921,1530;7,02;6,76;0,26;;;
1780U;94047;SUL;RIO GRANDE DO SUL;-29,7781008;-50,1743609;16,4655;19,7680;3,30;3,24;0,06;;;
1790D;94039;SUL;RIO GRANDE DO SUL;-30,1565119;-52,1174593;61,3373;68,3320;6,99;6,97;0,02;;;
1791C;94044;SUL;RIO GRANDE DO SUL;-29,7002478;-52,8594946;126,6082;134,9240;8,32;8,22;0,10;;;
1792H;91947;SUL;RIO GRANDE DO SUL;-29,7108457;-53,7168047;85,6995;95,2440;9,54;9,46;0,08;;;
1792L;91946;SUL;RIO GRANDE DO SUL;-29,6953655;-53,7750871;115,6781;125,2820;9,60;9,56;0,04;;;
1795M;94040;SUL;RIO GRANDE DO SUL;-30,2422288;-52,7474274;51,2498;60,0730;8,82;8,82;0,00;;;
1907L;93976;SUL;RIO GRANDE DO SUL;-29,1720310;-52,2058920;499,1238;506,7930;7,67;7,44;0,23;;;
1916J;93816;SUL;RIO GRANDE DO SUL;-28,3783195;-54,2837667;265,5297;274,1470;8,62;8,65;-0,03;;;
1919R;93975;SUL;RIO GRANDE DO SUL;-28,6356413;-53,6138781;471,0110;480,0330;9,02;8,91;0,11;;;
1930H;91945;SUL;RIO GRANDE DO SUL;-29,6663734;-54,6727409;119,6918;130,0430;10,35;10,31;0,04;;;
1937B;91943;SUL;RIO GRANDE DO SUL;-30,2415909;-54,9508784;139,3864;151,4430;12,06;11,96;0,10;;;
1938J;91936;SUL;RIO GRANDE DO SUL;-29,8343847;-55,6858042;130,2493;142,3740;12,12;12,10;0,02;;;
1941N;91938;SUL;RIO GRANDE DO SUL;-30,8582440;-55,5020140;199,4816;213,3770;13,90;13,68;0,22;;;
1943J;91940;SUL;RIO GRANDE DO SUL;-30,1779068;-56,0547411;226,7287;239,9130;13,18;13,10;0,08;;;
1946V;91939;SUL;RIO GRANDE DO SUL;-30,3812448;-56,3970780;148,9098;162,5730;13,66;13,58;0,08;;;
1951R;94043;SUL;RIO GRANDE DO SUL;-30,9438730;-54,1097510;312,6260;325,6740;13,05;12,87;0,18;;;
1965U;94038;SUL;RIO GRANDE DO SUL;-31,3907267;-52,6774992;418,6723;429,1870;10,51;10,39;0,12;;;
1966Z;94042;SUL;RIO GRANDE DO SUL;-31,6957181;-52,4239901;31,8193;41,2750;9,46;9,27;0,19;;;
1977L;91950;SUL;RIO GRANDE DO SUL;-32,2491160;-53,5536770;136,5277;148,4940;11,97;11,73;0,24;;;
3093H;91850;SUL;RIO GRANDE DO SUL;-30,0740420;-51,1197650;72,1478;76,7450;4,60;5,01;-0,41;;;
3093J;91899;SUL;RIO GRANDE DO SUL;-30,0731809;-51,1197747;73,5415;78,7210;5,18;5,00;0,18;;;
1401R;94030;SUL;SANTA CATARINA;-27,0604718;-49,4120238;93,3357;95,7340;2,40;2,34;0,06;;;
1433D;93978;SUL;SANTA CATARINA;-27,0723973;-52,6266937;676,5868;682,6930;6,11;5,97;0,14;;;
1710F;93981;SUL;SANTA CATARINA;-26,5000536;-53,5060341;758,6187;763,6570;5,04;4,92;0,12;;;
1750Z;93982;SUL;SANTA CATARINA;-26,7249550;-51,6322520;1252,1200;1259,7580;7,64;7,33;0,31;;;
1778L;96166;SUL;SANTA CATARINA;-28,8213621;-49,3993709;19,7737;21,2390;1,47;1,23;0,24;;;
1779B;94032;SUL;SANTA CATARINA;-29,0791983;-49,6292029;15,1580;17,0030;1,85;1,64;0,21;;;
2006J;96168;SUL;SANTA CATARINA;-27,4926420;-48,5038314;03,2540;03,7680;0,51;0,44;0,07;;;
2011U;94028;SUL;SANTA CATARINA;-26,3139990;-49,9099340;947,9771;952,0200;4,04;3,82;0,22;;;
2011X;93983;SUL;SANTA CATARINA;-26,2702300;-49,9190780;845,7919;849,8280;4,04;3,84;0,20;;;
2014D;93984;SUL;SANTA CATARINA;-26,9132990;-50,4445740;1093,8811;1099,4820;5,60;5,35;0,25;;;
2059L;94034;SUL;SANTA CATARINA;-27,9561268;-50,4844354;975,8185;982,2880;6,47;6,20;0,27;;;
2061N;94033;SUL;SANTA CATARINA;-27,8228880;-49,5700000;868,6589;873,2670;4,61;4,28;0,33;;;
2062U;94031;SUL;SANTA CATARINA;-27,6599440;-49,1256330;802,3147;805,3400;3,03;2,76;0,27;;;
2064P;94027;SUL;SANTA CATARINA;-26,1766490;-49,0076530;174,2462;176,6140;2,37;2,14;0,23;;;
3012E;96169;SUL;SANTA CATARINA;-26,7819468;-48,6685682;08,4487;08,5630;0,11;-0,08;0,19;;;
3012U;91662;SUL;SANTA CATARINA;-28,2300649;-48,6543281;06,0835;07,4020;1,32;1,25;0,07;;;
3087J;91854;SUL;SANTA CATARINA;-28,2366133;-48,6560785;10,5500;11,8500;1,30;1,25;0,05;;;
9302T;91558;SUL;SANTA CATARINA;-28,2380556;-48,6594444;11,3156;12,6390;1,32;1,25;0,07;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
